"","year","company","category","ac_recv","ac_recv_to_Sales","ta","tl","az_score","debt_equity","fixedAsset_ta","gross_margin","roe","inv_to_sales","sales","ppe_ta","sales_ta","int_earned","total_accruals_ta","td_ta","m_score","mfraud","fraud","benford","bfp1","bfp2","bfc"
"1",12,"A02","telecommunicationsequipment",19.8,0.20702634880803,144.83,92.9,1.19224275965281,2.48985725018783,0.174963750604157,0.461104140526976,0.0270473328324568,0.46685487243831,95.64,0.174963750604157,0.660360422564386,1.08144796380091,0.0362493958434026,0.457639991714424,-3.14646165924039,FALSE,"yes",FALSE,0.0386404817011405,0.0022090631670606,0.00228393591314946
"2",12,"A07","miscellaneous",7.81,0.0281603807600779,116.32,42.42,3.60757097452475,0.110471204188482,0.306997936726272,0.453414581380255,0.128272251308901,0.0945770534362155,277.34,0.306997936726272,2.38428473177442,5.39024390243903,-0.0922455295735901,0.0362792297111417,-3.62518960818923,FALSE,"no",FALSE,0.0087097073465966,0.0236538391558274,0.0255617254083191
"3",12,"A08","pharmaceuticals",16.04,0.141746200070696,586.88,194.34,1.18074639904022,-0.0143031040779062,0.332913031624864,0.313008130081301,-0.0618786772164739,0.832891481088724,113.16,0.332913031624864,0.192816248636859,-1.41538461538462,0.0816691657579062,-0.00480507088331515,-3.19536448889189,FALSE,"no",TRUE,0.103875964601987,0.97199359878812,0.996523137410009
"4",12,"A10","textilesspinningcottonblended",23.4,0.096506784344455,451.78,496.09,-0.538013959241841,-3.15541362530414,0.411394926734251,0.487318018723966,0.0518769551616267,0.175444384872355,242.47,0.411394926734251,0.536699278409846,-6.09395973154362,-0.0231971313471159,1.60753021382089,-3.17583459408029,FALSE,"no",TRUE,0.0562809681949332,0.95475567427186,0.98948541981172
"5",12,"A11","computerssoftwaretraining",20.12,0.221220450797141,324.61,32.57,6.7664351004536,-0.877080424198966,0.0877976648901759,1,0.0686870211722082,0.0183617372182518,90.95,0.0877976648901759,0.280182372693386,68.5185185185185,-0.0184221065278334,-0.715936046332522,-3.165828627308,FALSE,"no",FALSE,0.0675796652151629,0.0337504313672032,0.046888438997821
"6",12,"A12","miscellaneous",17.25,0.0330478763147307,531.13,348.56,1.49282968854851,3.32671300893744,0.185227722026622,0.968139931413683,0.200099304865938,0.0162653026035979,521.97,0.185227722026622,0.982753751435618,13.7865853658537,0.098262195695969,0.504584564984091,-2.13811641706326,TRUE,"no",FALSE,0.205541059872659,0.139240249424529,0.156904707931387
"7",12,"A14","computerssoftwaremediumsmall",126.4,1.04256021115144,794.82,182.77,2.38583143641917,-0.588485612644662,0.326073828036537,0.992576707357308,0.0257126131400009,0.00989772352358958,121.24,0.326073828036537,0.152537681487632,2.2150234741784,-0.148763241991897,-0.328841750333409,-3.82821185999935,FALSE,"no",TRUE,0.00644037530410446,0.866605133385641,0.93210921144379
"8",12,"A15","printingstationery",16.76,0.0835035623536446,212.62,40.91,3.71885510867764,-0.611822753581934,0.311917975731352,0.918838124657466,0.0901413796375368,0.22694434756614,200.71,0.311917975731352,0.943984573417364,5.87234042553191,-0.0357445207412285,-0.303264039130844,-3.01541314630761,FALSE,"no",FALSE,0.165617007420512,0.18113723913856,0.172268238925811
"9",12,"A17","miscellaneous",76.83,0.303868058851448,260.21,132.08,2.30359437276946,0.717555266579974,0.196917874024826,0.11968043031166,0.230689206762029,0.268865685809207,252.84,0.196917874024826,0.971676722647093,3.11301115241636,0.00288228738326736,0.212059490411591,-3.02593229906969,FALSE,"no",FALSE,0.00164088341531776,0.168806056501857,0.235022149981342
"10",12,"A19","computerssoftwaremediumsmall",7.14,0.274509803921569,36.62,6.56,3.73460080457167,-0.649385355424906,0.309666848716548,0.749327181853133,0.207910208444682,0.180699730872741,26.01,0.309666848716548,0.710267613326051,12.0816326530612,-0.0338612779901693,-0.331785909339159,-3.12599904174194,FALSE,"no",FALSE,0.662176020039917,0.0280707984923495,0.0345827528097153
"11",12,"A9","constructioncontractingcivil",90.49,0.548058869844346,1010.68,537.03,0.96306682063029,0.91591152336782,0.19130684291764,0.822966507177034,0.0673564038530146,0.326812428078251,165.11,0.19130684291764,0.163365259033522,1.20962517353077,-0.0727925752958404,0.25401709739977,-3.5405788072559,FALSE,"no",FALSE,0.680268487412402,0.225853053539793,0.23979923559674
"12",12,"AA02","miscellaneous",68.56,0.357791462269074,358.79,183.74,2.03006186728027,0.465231259968102,0.13840965467265,0.762655255192569,0.0833333333333333,0.53658282016491,191.62,0.13840965467265,0.534072855988182,2.07839388145316,0.113548315170434,0.16260207921068,-2.50874696577591,FALSE,"no",FALSE,0.719608350449579,0.478557783248533,0.531460089395821
"13",12,"AA08","auto23wheelers",6.08,0.0210971928241785,138.17,40.55,4.29780264532327,-0.277054733464076,0.30064413403778,0.160761997293452,0.277946157960421,0.103473402963323,288.19,0.30064413403778,2.08576391401896,41.4868421052632,0.0313382065571398,-0.112470145472968,-2.47285778902545,FALSE,"no",FALSE,0.512824201069847,0.163265153131881,0.159617942416383
"14",12,"AAB","breweriesdistilleries",10.05,0.0727154330366833,198.12,85.83,1.46388030039166,0.789616346955796,0.324853624066222,0.299110049924029,0.0540033361134278,0.151580927573982,138.21,0.324853624066222,0.697607510599637,2.14171122994652,-0.0804562891177064,0.191146779729457,-2.6755206215038,FALSE,"no",FALSE,0.442326113170121,0.342738472657209,0.363718364480268
"15",12,"AAC","chemicals",60.56,0.215125572803808,400.06,184.65,1.66210107840038,1.07728653391833,0.319902014697795,0.452452843593478,0.193047586905164,0.176654470533906,281.51,0.319902014697795,0.703669449582563,3.73798730734361,-0.0296705494175874,0.239364095385692,-3.0439172883381,FALSE,"no",FALSE,0.891574589156789,0.893368903370399,0.914593838978916
"16",12,"AAC01","chemicals",65.12,0.204246777279428,111.04,95.27,2.96658054450849,14.9848993288591,0.0885266570605187,0.806636765674497,0.583892617449664,0.0109149076310259,318.83,0.0885266570605187,2.87130763688761,6.40384615384615,-0.136437319884726,0.804304755043228,-3.61264119232862,FALSE,"no",FALSE,0.00247216868125844,0.00119576809213362,0.000700643679361068
